subject_code,target_i,target_j,template_i,template_j,di,dj,C0_x,C0_y,Cmid_x,Cmid_y,C20_x,C20_y,ray_count,shifted_curve,geometry_npz,debug_png,centers_txt
129,161,222,166,266,-5,-44,70,61,222,161,70,260,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_129.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/129/rotation_geometry_129.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/129/rotation_debug_129.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/129/rotation_centers_129.txt
137,165,230,166,266,-1,-36,78,65,230,165,78,264,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_137.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/137/rotation_geometry_137.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/137/rotation_debug_137.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/137/rotation_centers_137.txt
139,167,251,166,266,1,-15,99,67,251,167,99,266,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_139.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/139/rotation_geometry_139.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/139/rotation_debug_139.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/139/rotation_centers_139.txt
143,167,230,166,266,1,-36,78,67,230,167,78,266,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_143.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/143/rotation_geometry_143.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/143/rotation_debug_143.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/143/rotation_centers_143.txt
147,182,247,166,266,16,-19,95,82,247,182,95,281,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_147.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/147/rotation_geometry_147.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/147/rotation_debug_147.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/147/rotation_centers_147.txt
151,162,229,166,266,-4,-37,77,62,229,162,77,261,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_151.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/151/rotation_geometry_151.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/151/rotation_debug_151.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/151/rotation_centers_151.txt
153,166,236,166,266,0,-30,84,66,236,166,84,265,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_153.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/153/rotation_geometry_153.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/153/rotation_debug_153.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/153/rotation_centers_153.txt
155,167,217,166,266,1,-49,65,67,217,167,65,266,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_155.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/155/rotation_geometry_155.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/155/rotation_debug_155.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/155/rotation_centers_155.txt
157,157,266,166,266,-9,0,114,57,266,157,114,256,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_157.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/157/rotation_geometry_157.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/157/rotation_debug_157.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/157/rotation_centers_157.txt
161,160,216,166,266,-6,-50,64,60,216,160,64,259,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_161.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/161/rotation_geometry_161.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/161/rotation_debug_161.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/161/rotation_centers_161.txt
166,162,220,166,266,-4,-46,68,62,220,162,68,261,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_166.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/166/rotation_geometry_166.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/166/rotation_debug_166.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/166/rotation_centers_166.txt
168,170,235,166,266,4,-31,83,70,235,170,83,269,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_168.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/168/rotation_geometry_168.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/168/rotation_debug_168.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/168/rotation_centers_168.txt
169,168,233,166,266,2,-33,81,68,233,168,81,267,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_169.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/169/rotation_geometry_169.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/169/rotation_debug_169.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/169/rotation_centers_169.txt
171,164,234,166,266,-2,-32,82,64,234,164,82,263,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_171.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/171/rotation_geometry_171.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/171/rotation_debug_171.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/171/rotation_centers_171.txt
172,169,237,166,266,3,-29,85,69,237,169,85,268,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_172.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/172/rotation_geometry_172.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/172/rotation_debug_172.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/172/rotation_centers_172.txt
175,164,252,166,266,-2,-14,100,64,252,164,100,263,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_175.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/175/rotation_geometry_175.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/175/rotation_debug_175.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/175/rotation_centers_175.txt
176,154,226,166,266,-12,-40,74,54,226,154,74,253,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_176.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/176/rotation_geometry_176.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/176/rotation_debug_176.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/176/rotation_centers_176.txt
